place,user_name,rating,comment,date
Shaniwar Wada,Shaurya,4,Great spot for photography.,2025-06-25 11:14:00
Aga Khan Palace,Diya,3,Good place for a short weekend trip.,2025-06-16 13:35:00
Sinhagad Fort,Myra,4,Loved the serene environment.,2025-06-13 17:41:00
Pataleshwar Cave Temple,Aadya,5,Food nearby is excellent.,2025-10-12 18:22:00
Raja Dinkar Kelkar Museum,Zara,4,Amazing place to visit with family.,2025-07-18 15:32:00
Dagdusheth Halwai Ganpati Temple,Reyansh,5,Loved the serene environment.,2025-06-04 13:29:00
Parvati Hill Temple,Vivaan,4,A bit crowded on weekends but worth it.,2025-12-27 18:36:00
Pashan Lake,Sai,3,Food nearby is excellent.,2025-08-11 15:42:00
Okayama Friendship Garden,Ananya,3,Beautiful architecture and history.,2025-09-18 14:44:00
Empress Botanical Garden,Krishna,5,A must-visit when in Pune.,2025-08-17 11:33:00
National War Memorial,Zara,5,Amazing place to visit with family.,2025-11-08 09:45:00
Shinde Chhatri,Ishaan,3,A bit crowded on weekends but worth it.,2025-12-13 18:27:00
Khadakwasla Dam,Atharv,3,Beautiful architecture and history.,2025-11-20 15:50:00
Peacock Bay,Myra,3,A must-visit when in Pune.,2025-12-27 18:26:00
Bund Garden,Saanvi,4,Loved the serene environment.,2025-11-03 09:39:00
Osho Teerth Park,Shaurya,4,Great spot for photography.,2025-06-03 16:29:00
Vetal Tekdi,Sai,3,Great spot for photography.,2025-08-26 13:10:00
Paragliding at Kamshet,Ishaan,5,A must-visit when in Pune.,2025-11-27 17:12:00
Lavasa,Reyansh,4,Beautiful architecture and history.,2025-06-07 16:44:00
Rajiv Gandhi Zoological Park,Ayaan,5,A must-visit when in Pune.,2025-10-25 14:40:00
ISKCON NVCC Temple,Sai,5,A bit crowded on weekends but worth it.,2025-12-17 17:46:00
Balewadi High Street,Aditya,5,Great spot for photography.,2025-12-15 17:48:00
Koregaon Park,Krishna,5,A must-visit when in Pune.,2025-09-09 14:42:00
FC Road,Reyansh,3,Loved the serene environment.,2025-08-04 18:44:00
JM Road,Sai,5,Beautiful architecture and history.,2025-10-10 18:15:00
Vishrambaug Wada,Ananya,5,Amazing place to visit with family.,2025-09-20 13:18:00
Khunya Murlidhar Temple,Ananya,5,Very peaceful and well maintained.,2025-06-04 14:34:00
Chatushringi Temple,Vivaan,5,Very peaceful and well maintained.,2025-09-27 13:11:00
Baner Pashan Biodiversity Park,Vivaan,5,Amazing place to visit with family.,2025-09-20 18:31:00
Blades of Glory Cricket Museum,Kavya,4,Loved the serene environment.,2025-07-07 09:15:00
Shivneri Fort,Zara,4,Highly recommended for nature lovers.,2025-08-21 17:39:00
Lonavala Tiger Point,Aarohi,4,A bit crowded on weekends but worth it.,2025-08-25 18:49:00
Bhushi Dam,Aarohi,4,Good place for a short weekend trip.,2025-09-09 11:28:00
Karla Caves,Ayaan,3,Very peaceful and well maintained.,2025-11-05 12:40:00
Bedse Caves,Navya,5,Amazing place to visit with family.,2025-12-05 16:31:00
Pawna Lake,Shaurya,3,Very peaceful and well maintained.,2025-10-06 14:17:00
Mulshi Lake and Dam,Myra,4,A must-visit when in Pune.,2025-12-03 18:33:00
Bhandardara,Ayaan,5,Very peaceful and well maintained.,2025-10-14 17:41:00
Lal Mahal,Myra,3,A must-visit when in Pune.,2025-06-12 15:16:00
Tribal Museum Pune,Aarav,5,Great spot for photography.,2025-11-21 11:45:00
Saras Baug,Aadya,5,Very peaceful and well maintained.,2025-09-08 18:11:00
Kamala Nehru Park,Shaurya,3,Good place for a short weekend trip.,2025-11-04 16:50:00
Sambhaji Park,Atharv,3,Amazing place to visit with family.,2025-07-08 13:29:00
Pune Railway Museum,Navya,4,Loved the serene environment.,2025-08-18 13:17:00
Omkareshwar Temple,Aadya,3,Great spot for photography.,2025-06-19 11:14:00
Taljai Hill,Navya,4,Great spot for photography.,2025-11-19 11:26:00
Hanuman Tekdi,Vivaan,3,A bit crowded on weekends but worth it.,2025-06-01 13:13:00
Katraj Snake Park,Kavya,3,Good place for a short weekend trip.,2025-08-28 17:15:00
Katraj Lake,Aditya,4,Highly recommended for nature lovers.,2025-09-22 15:12:00
Pune War Cemetery,Diya,4,Beautiful architecture and history.,2025-11-20 13:19:00
Ohel David Synagogue,Saanvi,4,Very peaceful and well maintained.,2025-11-22 14:26:00
Amanora Mall,Saanvi,5,A must-visit when in Pune.,2025-09-08 13:13:00
Phoenix Marketcity,Vivaan,3,Highly recommended for nature lovers.,2025-06-15 09:50:00
Seasons Mall,Ayaan,3,Highly recommended for nature lovers.,2025-07-13 15:32:00
Westend Mall,Kavya,3,Good place for a short weekend trip.,2025-08-13 09:50:00
Kalyani Nagar,Zara,5,Good place for a short weekend trip.,2025-09-01 17:31:00
Mandai Market,Ishaan,4,Beautiful architecture and history.,2025-06-02 17:46:00
Imagica Theme Park,Ananya,5,Great spot for photography.,2025-06-10 14:44:00
Della Adventure Park,Saanvi,4,Amazing place to visit with family.,2025-07-25 13:33:00
Fergusson College,Saanvi,4,Amazing place to visit with family.,2025-08-04 09:40:00
College of Engineering Pune,Ishaan,3,Food nearby is excellent.,2025-12-13 11:15:00
Pune University,Vivaan,4,Amazing place to visit with family.,2025-06-10 13:26:00
National Film Archive,Sai,4,Food nearby is excellent.,2025-12-28 12:10:00
Kasba Ganpati Temple,Atharv,3,Food nearby is excellent.,2025-12-05 16:27:00
Kesari Wada,Aarav,3,Food nearby is excellent.,2025-12-08 12:18:00
Deccan Gymkhana,Arjun,3,Good place for a short weekend trip.,2025-12-20 14:20:00
Chaturshringi Wildlife,Ishaan,3,A bit crowded on weekends but worth it.,2025-06-03 16:35:00
Pashan Tekdi,Diya,4,Good place for a short weekend trip.,2025-09-15 18:29:00
Pune Cantonment,Vihaan,3,A must-visit when in Pune.,2025-09-13 10:13:00
Wet N Joy Water Park,Krishna,5,Loved the serene environment.,2025-12-15 16:48:00
Xthrill Water Park,Arjun,5,A must-visit when in Pune.,2025-10-20 16:43:00
Appu Ghar Pune,Aadya,4,A bit crowded on weekends but worth it.,2025-11-15 12:13:00
Panshet Dam,Shaurya,4,Amazing place to visit with family.,2025-11-27 09:46:00
Varasgaon Dam,Myra,4,A must-visit when in Pune.,2025-07-23 11:14:00
Temghar Dam,Diya,4,A bit crowded on weekends but worth it.,2025-09-20 09:49:00
Neelkantheshwar,Saanvi,3,Amazing place to visit with family.,2025-09-15 17:15:00
Torna Fort,Aarav,4,Amazing place to visit with family.,2025-11-02 12:46:00
Rajgad Fort,Diya,5,A must-visit when in Pune.,2025-08-01 17:34:00
Tikona Fort,Ayaan,3,A must-visit when in Pune.,2025-11-06 11:13:00
Lohagad Fort,Zara,5,Great spot for photography.,2025-11-24 18:48:00
Visapur Fort,Ishaan,3,Beautiful architecture and history.,2025-09-07 09:18:00
Korigad Fort,Ananya,3,Food nearby is excellent.,2025-07-15 17:24:00
Tung Fort,Aarohi,4,Loved the serene environment.,2025-09-17 14:30:00
Purandar Fort,Diya,3,Highly recommended for nature lovers.,2025-08-24 09:46:00
Rohida Fort,Myra,4,Great spot for photography.,2025-10-16 16:38:00
Bhuleshwar Temple,Vivaan,5,Beautiful architecture and history.,2025-12-05 12:18:00
Ranjangaon Mahaganpati,Aditya,3,Food nearby is excellent.,2025-11-17 09:42:00
Theur Chintamani,Ananya,3,Amazing place to visit with family.,2025-06-02 15:50:00
